frog.no,species,svl,jaw,hind.limb,hand,foot,colour,weight,site,transect
143,Rana chalconota,32.2,9.1,4,0,2,3,1.5,1,P2
144,Rana chalconota,43.2,12.3,4,0,2,3,4.9,1,P2
145,Rana glandulosa,43.7,15.2,4,0,1,2,6,1,P2
146,Rana chalconota,42.1,12.9,4,0,2,1,4.7,2,P2
147,Rana glandulosa,49,20.6,4,0,1,2,15,0,P2
148,Rana glandulosa,45.7,18.6,4,0,1,2,11.4,0,P2
149,Rana glandulosa,47.2,14.8,4,0,1,2,8.8,0,P2
150,Rana glandulosa,43.8,16.7,4,0,1,2,8.4,0,P2
151,Rana glandulosa,44.1,13.9,4,0,1,3,6.9,1,P2
152,Rana glandulosa,48.5,15.2,4,0,1,1,12,0,P2
153,Rhacophorus appendiculatus,28.1,11.9,4,0,2,3,1.9,2,REF1
154,Rhacophorus appendiculatus,29.2,11.5,4,0,2,3,1.6,2,REF1
155,Rhacophorus pardalis,48,15.8,4,3,3,4,4.9,2,REF1
156,Rhacophorus appendiculatus,30.3,11.8,4,0,2,3,1.9,2,REF1
157,Rana chalconota,31.2,11.3,4,0,2,3,2.3,2,REF1
158,Rana chalconota,28.1,9.5,4,0,2,3,1.7,0,REF1
159,Rana chalconota,30.3,11.2,4,0,2,3,1.9,0,REF1
160,Rana chalconota,47.6,13.1,4,0,2,1,3.8,0,REF1
161,Rhacophorus appendiculatus,32.7,12.2,4,0,2,2,2,1,REF1
162,Rana chalconota,41.3,11,4,0,2,2,3.8,1,REF1
163,Rana chalconota,35,11.3,4,0,2,1,2.7,0,REF1
164,Rhacophorus appendiculatus,31.3,11.5,4,0,2,1,1.8,0,REF1
165,Rhacophorus appendiculatus,28.6,12,4,0,2,2,3.8,2,REF1
166,Rhacophorus appendiculatus,34.1,11.4,4,0,2,2,2.1,2,REF1
167,Rhacophorus appendiculatus,31.4,12.9,4,0,2,3,2.2,1,REF1
168,Rana chalconota,30.4,10.4,4,0,2,3,2.3,1,REF1
169,Rhacophorus appendiculatus,31.7,11.7,4,0,2,3,1.7,2,REF1
170,Rana chalconota,28.5,8.9,4,0,2,1,2.1,1,REF1
171,Rhacophorus appendiculatus,27.2,10.5,4,0,2,3,1.7,0,REF1
172,Rhacophorus appendiculatus,40.1,14.6,4,0,2,3,4.9,1,REF1
173,Rhacophorus pardalis,44.7,15.1,4,3,3,4,4,0,REF1
174,Rana glandulosa,62.9,21.7,4,0,1,2,22,0,P4
175,Polypedates leucomystax,56.8,18.3,4,0,2,2,13,0,P4
176,Rana glandulosa,53.6,17.7,4,0,1,2,14,0,P4
177,Rana glandulosa,54.1,18.8,4,0,1,2,14,0,P4
178,Rana chalconota,37.4,10.7,4,0,2,3,4.8,1,P5
179,Rana chalconota,33.8,10.2,4,0,1,2,12,1,P5
180,Rana glandulosa,53,19.9,4,0,2,3,12,0,P5
181,Rana chalconota,32.9,10.4,4,0,2,3,2.5,1,P5
182,Rana glandulosa,51.4,16.7,4,0,1,2,8,1,P5
183,Rana glandulosa,56.1,18.9,4,0,1,2,16,0,P5
184,Rana glandulosa,52,17.5,4,0,1,2,15,0,P5
185,Rana glandulosa,41.8,14.4,4,0,1,2,7.5,0,P5
186,Rana chalconota,41.4,13.4,4,0,2,3,4.6,1,P5
187,Rana chalconota,37.5,12.5,4,0,2,3,4.6,1,P5
188,Metaphrynella sundana,25.4,8.12,2,0,0,2,2.8,2,P5
189,Rana chalconota,41.3,13.5,4,0,2,1,4.6,2,P5
190,Rana glandulosa,59,27.7,4,0,1,2,15,1,P5
191,Rana glandulosa,53,16.5,4,0,1,2,15,1,P5
192,Rana chalconota,29.2,9.7,4,0,1,1,1.7,1,P5
193,Rana glandulosa,43.7,14.7,4,0,1,2,8,0,PEF1
194,Rana glandulosa,47.9,18.1,4,0,1,2,9.9,0,PEF1
195,Rhacophorus appendiculatus,33.4,11.2,4,0,2,3,1.8,2,PEF1
196,Rhacophorus appendiculatus,33.5,12.1,4,0,2,1,1.9,2,PEF1
197,Rhacophorus appendiculatus,32.5,11.7,4,0,2,3,1.8,2,PEF1
198,Rhacophorus appendiculatus,34.9,13.2,4,0,2,3,2.3,1,PEF1
199,Fejervarya limnocharis,49.2,15.4,4,0,1,2,11,0,P1
200,Polypedates leucomystax,43.39,13,4,0,2,2,3.8,0,P1
201,Polypedates leucomystax,49.8,18.3,4,0,2,2,17,0,P1
202,Polypedates leucomystax,45.1,13.7,4,0,2,2,7,0,P1
203,Rana glandulosa,47.9,16.8,4,0,1,2,10,0,P3
204,Rana chalconota,32.1,9.8,4,0,2,3,2.3,1,P3
205,Rana chalconota,33.9,10.3,4,0,2,3,2.3,1,P3
206,Rana chalconota,47.5,14.8,4,0,2,3,4,1,P3
207,Rana glandulosa,56.8,19.3,4,0,1,2,17,0,P3
208,Rana chalconota,47.3,14.1,4,0,2,3,5.6,1,P3
209,Rana chalconota,38.8,11.8,4,0,2,3,3.8,1,P3
210,Rana chalconota,37.8,12.4,4,0,2,3,4,1,P3
211,Rana chalconota,41.6,12.6,4,0,2,3,4.2,1,P3
212,Rana chalconota,41.4,13.5,4,0,2,3,4.4,1,P3
213,Rana glandulosa,65.6,21.4,4,0,1,2,20,1,P3
214,Rana glandulosa,53.3,17.8,4,0,1,2,12,0,P3
215,Rana glandulosa,50.7,17.5,4,0,1,2,9,1,P3
216,Rana chalconota,25,7.5,4,0,2,3,1.4,2,P3
217,Rana chalconota,42.8,12.6,4,0,2,1,4,2,P3
218,Rana chalconota,28.9,8.6,4,0,2,3,1.9,0,P3
219,Rana glandulosa,61.7,20.7,4,0,1,2,11.7,0,P3
220,Rana glandulosa,52.1,18.9,4,0,1,2,12,0,P3
221,Rana chalconota,33.6,10.4,4,0,2,3,2.5,1,P3
222,Rana chalconota,29.6,8.9,4,0,2,3,2.2,2,P3
223,Rana glandulosa,43.1,14.1,4,0,1,2,6.1,0,P2
224,Rana glandulosa,48.2,14.5,4,0,1,2,6.9,1,P2
225,Rana chalconota,23.5,8.9,4,0,2,1,1.1,1,P2
226,Rana glandulosa,47,14.3,4,0,1,2,8.5,1,P2
227,Rana chalconota,28.5,9.2,4,0,2,1,1.7,1,P2
228,Rana glandulosa,45.8,13.8,4,0,1,2,4.8,0,P2
229,Rana chalconota,41.7,14.5,4,0,2,3,4.5,2,P2
230,Rana chalconota,20.1,7.4,4,0,2,1,2.7,1,P2
231,Rana chalconota,17.9,6.5,4,0,2,1,NA,1,P2
232,Rana glandulosa,47.5,26.2,4,0,1,2,8,0,P2
233,Rana chalconota,18,6.5,4,0,2,2,0.4,1,P2
234,Fejervarya limnocharis,56,16.4,4,0,1,2,14,0,P4
235,Rana chalconota,34.7,10.3,4,0,2,3,3.7,2,P4
236,Rana chalconota,34,10.7,4,0,2,3,2.9,2,P4
237,Rana glandulosa,77.5,28.3,4,0,1,2,58,0,P4
238,Rana chalconota,37.8,13.7,4,0,2,3,5.4,2,P4
239,Rana glandulosa,52.9,18.3,4,0,1,2,15.5,1,P4
240,Rana glandulosa,49.5,18.7,4,0,1,2,16.5,0,P4
241,Rana glandulosa,42.7,14.6,4,0,1,2,8,1,P4
242,Rana glandulosa,61.8,18.5,4,0,1,2,15.5,1,P4
243,Rana glandulosa,49.1,17.9,4,0,1,2,14,0,P4
244,Rana glandulosa,43.7,15.1,4,0,1,2,8,0,P5
245,Rana glandulosa,59,19.6,4,0,1,2,13.5,0,P5
246,Rana chalconota,29.9,9,4,0,2,3,1.4,1,P5
247,Rana chalconota,35.8,11.5,4,0,2,3,2.9,1,P5
248,Rana glandulosa,36.9,12.3,4,0,1,2,5.9,0,P5
249,Rana chalconota,31.3,11.7,4,0,2,1,2.6,1,P5
250,Rana chalconota,32,11.9,4,0,2,3,3.5,1,P5
251,Rana glandulosa,43.6,16.6,4,0,1,2,9.5,2,P5
252,Microhyla perpava,12.6,7.2,4,0,0,2,1,0,P5
253,Rana chalconota,41.4,12.9,4,0,2,1,4.4,1,P5
