frog.no,species,svl,jaw,hind.limb,hand,foot,colour,weight,site,transect
343,Rhacophorus appendiculatus,44.5,15,4,0,2,3,3,2,REF4
344,Rana chalconota,24.5,7.3,4,0,2,2,0.5,2,REF4
345,Rana chalconota,24.8,NA,NA,NA,NA,NA,NA,NA,REF4
346,Rana chalconota,19.5,6.5,4,0,2,2,0.5,1,REF1
347,Rhacophorus appendiculatus,32.5,12,4,0,2,3,1.9,2,REF1
348,Rhacophorus appendiculatus,31,9,4,0,2,3,1.5,1,REF1
349,Rhacophorus appendiculatus,32,12,4,0,2,3,1.7,2,REF1
350,Metaphrynella sundana,35,10,3,0,1,2,3.5,2,REF1
351,Rhacophorus appendiculatus,33,12,4,0,2,3,1.5,2,REF1
352,Rhacophorus appendiculatus,31,11,4,0,2,2,1.6,2,REF1
353,Rhacophorus appendiculatus,31,12,4,0,2,1,1.4,2,REF1
354,Rhacophorus appendiculatus,29,11,4,0,2,3,1.8,1,REF1
355,Rana chalconota,35,10,4,0,2,1,2.2,2,REF1
356,Rana chalconota,32,10,4,0,2,3,2.1,2,REF1
357,Rana chalconota,41,12,4,0,2,3,3.2,2,REF1
358,Rhacophorus appendiculatus,32,13,4,0,2,3,2,2,REF1
359,Rana chalconota,31,10,4,0,2,3,3,2,REF1
360,Metaphrynella sundana,33,12,3,0,2,2,2.6,1,REF2
361,Polypedates macrotis,52,17,4,0,2,2,7.3,1,IF5
362,Polypedates macrotis,47,15.5,4,0,2,2,6.4,1,IF5
363,Polypedates macrotis,42.5,15,4,0,2,2,4.5,2,IF5
364,Rhacophorus appendiculatus,30,11.5,4,0,2,1,2,2,IF5
365,Rhacophorus appendiculatus,22,8,4,0,2,1,0.9,2,IF5
366,Rhacophorus appendiculatus,32,13,4,0,2,3,2.2,2,IF5
367,Rana chalconota,30.5,10,4,0,2,3,2.5,1,IF5
368,Rana chalconota,31,10,4,0,2,1,2.8,2,IF5
369,Rana chalconota,44,13,4,0,2,3,5.4,2,IF5
370,Rana chalconota,20,6,4,0,2,2,0.6,2,IF5
371,Rana chalconota,43,13,4,0,2,3,4.3,2,IF5
372,Rhacophorus appendiculatus,24.5,9.5,4,0,2,3,1.3,2,IF5
373,Rhacophorus appendiculatus,33.5,12.5,4,0,2,3,11,2,IF5
374,Rhacophorus appendiculatus,31,10.5,4,0,2,3,1.9,2,IF3
375,Rhacophorus pardalis,40,15,4,3,3,4,2.8,1,IF3
376,Polypedates macrotis,49,17.5,4,0,2,2,7.3,2,IF3
377,Rhacophorus pardalis,51.5,18,4,3,3,4,9.8,1,IF3
378,Rhacophorus pardalis,39,14,4,3,3,4,3.4,2,IF3
379,Rana chalconota,44.5,15,4,0,2,3,5.3,2,IF4
380,Polypedates macrotis,64,21,4,0,2,2,13.5,2,IF4
381,Polypedates macrotis,64,24.5,4,0,2,2,15,2,IF4
382,Rhacophorus appendiculatus,44,12,4,0,2,3,5.3,1,IF4
383,Polypedates macrotis,48,16,4,0,2,2,9.5,1,IF4
384,Rana chalconota,28.9,8.7,4,0,2,1,1.2,2,P1
385,Polypedates leucomystax,49,13,4,0,2,2,4.8,0,P1
386,Fejervarya limnocharis,37,13,4,0,1,2,4.9,0,P2
387,Rana chalconota,23,7,4,0,2,1,0.8,1,P2
388,Rana chalconota,25,8,4,0,2,1,1.2,1,P2
389,Rana chalconota,22,7,4,0,2,3,0.5,1,P2
390,Rana glandulosa,45,15,4,0,1,2,7.1,1,P2
391,Rana glandulosa,55,18,4,0,1,2,19.4,0,P2
392,Rana chalconota,22,7.1,4,0,2,1,0.6,1,P2
393,Rana chalconota,21.5,5.7,4,0,2,1,0.7,1,P2
394,Rana glandulosa,60.5,20,4,0,1,2,13.1,0,P2
395,Rana chalconota,40,12,4,0,2,3,3.8,1,P2
396,Rana glandulosa,48.5,17,4,0,1,2,9.5,1,P2
397,Rana chalconota,27,10,4,0,2,3,1.8,1,P2
398,Rana chalconota,22,8.5,4,0,2,3,1,1,P2
399,Rana chalconota,20.5,10,4,0,2,1,1.6,1,P2
400,Rana chalconota,30.9,10.6,4,0,2,3,2.2,1,P5
401,Rana chalconota,32,10.5,4,0,2,1,2.4,1,P5
402,Rana glandulosa,53,18.5,4,0,1,2,13.1,0,P5
403,Rana glandulosa,50,19,4,0,1,2,11.8,0,P5
404,Rana glandulosa,51.5,18,4,0,1,2,11.6,0,P5
405,Rana glandulosa,43.4,17.5,4,0,1,2,7.3,0,P5
406,Rana glandulosa,56,20,4,0,1,2,17.6,0,P5
407,Rana glandulosa,56.5,20.5,4,0,1,2,11.8,1,P5
408,Rana glandulosa,56.5,20,4,0,1,2,12.6,1,P5
409,Rana chalconota,43.5,13,4,0,2,3,5.4,1,P5
410,Rana glandulosa,30,11,4,0,1,2,2.6,1,P5
411,Rana glandulosa,40,15,4,0,1,2,7,1,P5
412,Rana chalconota,44,13,4,0,2,3,6.5,1,P5
413,Rana chalconota,40,13,4,0,2,1,5,1,P5
414,Rana glandulosa,49.5,17,4,0,1,2,9.5,1,P5
415,Rana glandulosa,60,21,4,0,1,2,15.1,1,P5
416,Rana erythraea,NA,NA,NA,NA,NA,NA,NA,NA,P5
417,Polypedates leucomystax,53,19,4,0,2,2,14.1,2,P5
418,Rana glandulosa,52,18,4,0,1,2,14.1,0,P5
419,Rana glandulosa,57,20,4,0,1,2,15.6,0,P5
420,Rana glandulosa,62.5,21.5,4,0,1,2,20.1,1,P5
421,Rana glandulosa,53.5,15.9,4,0,1,2,12.6,0,P4
422,Rana chalconota,22.6,7.8,4,0,2,1,1.1,1,P4
423,Rana chalconota,21.5,7.6,4,0,2,1,0.9,1,P4
424,Rana chalconota,25.4,7.4,4,0,2,2,1.2,1,P4
425,Rana chalconota,26.2,9.8,4,0,2,1,1.5,0,P4
426,Rana glandulosa,52.3,18.5,4,0,1,2,14.6,1,P4
427,Fejervarya limnocharis,47.3,16,4,0,1,2,12.4,0,P4
428,Rana glandulosa,57.8,21,4,0,1,2,17.1,1,P4
429,Rana glandulosa,72.3,25.4,4,0,1,2,23.1,0,P4
430,Rana glandulosa,46.7,14.1,4,0,1,2,8,0,P4
431,Rana glandulosa,57.5,2.5,4,0,1,2,17.6,0,P4
432,Rana chalconota,31.2,10.4,4,0,2,3,4.1,1,REF2
433,Rhacophorus pardalis,NA,NA,NA,3,3,4,NA,2,REF2
434,Rhacophorus appendiculatus,47.9,17.9,4,0,2,3,8.2,1,PEF5
435,Metaphrynella sundana,31.5,11.5,2,0,1,2,3.5,2,PEF5
436,Rana erythraea,70,20,4,0,2,1,12.1,0,PEF3
437,Rana glandulosa,65,21,4,0,1,2,22.5,2,PEF3
438,Rana chalconota,44.4,14.7,4,0,2,1,6.3,2,IF5
439,Rana chalconota,24.7,7.6,4,0,2,2,0.8,2,IF5
440,Rhacophorus appendiculatus,32.3,11.6,4,0,2,1,1.8,2,IF5
441,Rana chalconota,23.9,11.2,4,0,2,3,2,1,IF5
442,Polypedates macrotis,42.5,16,4,0,2,2,4,2,IF5
443,Rana chalconota,40,12,4,0,2,3,5.2,0,IF5
444,Rhacophorus dulitensis,30.3,12,4,1,3,1,1.5,2,IF5
445,Rana chalconota,20,8,4,0,2,2,0.4,1,IF5
446,Rhacophorus appendiculatus,30.2,14,4,0,2,2,1.6,2,IF5
447,Rana chalconota,19,13,4,0,2,1,0.4,1,IF5
448,Rhacophorus appendiculatus,26,13,4,0,2,3,1.8,1,IF5
449,Rhacophorus appendiculatus,29,15,4,0,2,3,2.2,2,IF5
450,Rhacophorus appendiculatus,30.5,14.6,4,0,2,2,1.8,2,IF5
451,Rhacophorus appendiculatus,30,12.2,4,0,2,2,2,1,IF5
452,Rhacophorus appendiculatus,32.6,12.1,4,0,2,2,1.6,1,IF5
453,Metaphrynella sundana,30,10,3,0,0,2,3.2,3,IF3
454,Rana chalconota,38,12.5,4,0,2,3,3.4,2,IF3
455,Rana chalconota,44.5,12.5,4,0,2,3,4.3,2,IF3
456,Rana chalconota,36,10,4,0,2,3,2.2,2,IF3
457,Metaphrynella sundana,31,11,3,0,0,2,2.4,1,IF3
458,Microhyla perpava,NA,NA,NA,NA,NA,2,NA,0,PEF2
459,Rana chalconota,27,8,4,0,2,3,1.2,1,PEF2
460,Limnonectes finichi,25,8.5,4,0,1,2,1.7,0,PEF2
461,Limnonectes finichi,28,12.5,4,0,1,2,2.1,0,PEF2
462,Metaphrynella sundana,35,14,3,0,0,2,5.7,2,PEF2
463,Rana chalconota,21.5,12.5,4,0,2,2,0.8,2,PEF2
464,Polypedates leucomystax,65,20,4,0,2,2,14,1,PEF2
465,Limnonectes finichi,40.5,14,4,0,1,2,7.7,0,PEF2
466,Kaloula pulchra,NA,NA,NA,NA,NA,NA,NA,3,PEF2
467,Rhacophorus appendiculatus,34.5,12,4,0,2,2,2.4,1,PEF1
468,Rana glandulosa,27,8.5,4,0,1,2,1.3,0,PEF1
469,Rana chalconota,34,10,4,0,2,3,2.8,2,PEF1
470,Rana chalconota,24.5,8.5,4,0,2,2,1.1,2,PEF1
471,Rana glandulosa,45.5,16,4,0,1,2,7.9,1,PEF1
472,Rana glandulosa,20,7.5,4,0,1,2,0.6,0,PEF1
473,Rana chalconota,24,7,4,0,2,2,1,1,PEF1
474,Metaphrynella sundana,34,12,3,0,0,2,3.5,1,PEF1
475,Rana chalconota,28.5,10,4,0,2,3,5,2,PEF1
476,Rana chalconota,24.5,7,4,0,2,2,1.1,1,PEF1
477,Rhacophorus appendiculatus,28.5,10,4,1,2,1,1.5,1,PEF1
478,Rana glandulosa,60.5,20,4,0,1,2,15,1,PEF1
479,Rana glandulosa,63,21.5,4,0,1,2,20,1,PEF5
480,Rana glandulosa,43.5,16.5,4,0,1,2,10.4,0,PEF5
481,Rana glandulosa,57,20,4,0,1,2,13,0,PEF5
482,Rana glandulosa,63.5,23.5,4,0,1,2,21,1,PEF5
483,Rana erythraea,64,21,4,0,2,1,22.5,1,PEF5
484,Rana glandulosa,65,22.5,4,0,1,2,33.5,0,PEF5
485,Rana chalconota,NA,NA,NA,NA,NA,NA,NA,0,PEF5
486,Rhacophorus appendiculatus,41,16.5,4,1,2,3,2,5,PEF3
487,Rhacophorus appendiculatus,34.5,12.5,4,1,2,2,2,2,PEF3
488,Rana glandulosa,60,21.5,4,0,1,2,0,17,PEF3
489,Rana chalconota,44,14,4,0,2,1,2,6.1,PEF3
490,Rana glandulosa,52,20,4,0,1,2,0,15,PEF3
491,Rana glandulosa,64,23,4,0,1,2,0,22,PEF3
